ID,Prev crop,PU?,Year,State,CRD,County,Location,Fld,Latitude,Longitude,Sandy?,Muck?,Soil texture,Soil assoc.,Manure,Irrig,Hybrid,Plt date,Ntiming,Nsource,Model,a,b,c,AONR,Opt. yld,R-sq,EONR
NR-186,Soy,no,2012,IN,NC,Cass,Guy,Hinkle,,,no,no,"SiL, SiCL","Fincastle, Patton",no,no,Becks 6175 AMX,6-Apr,SD,NH3,QP,111.6,0.7552,-2.64E-03,143.1,165.6,,122
NR-187,Corn,no,2012,IN,NW,Jasper,Kingma,Marks80,,,yes,no,LS,Watseka-Maumee,no,no,DK61-88,5-May,SD,NH3,QP,98.6937,0.3523,-8.20E-04,216.1,136.8,,146
NR-188,Corn,no,2012,IN,NW,Jasper,Klemp - M.E.4,ME4,,,yes,no,LS,Watseka-Maumee,no,no,Becks 5354,19-Apr,SD,NH3,QP,96.9044,1.079,-2.51E-03,215.1,212.9,,193
NR-189,Soy,yes,2012,IN,NE,Whitley,NEPAC - L5,L5,41.11445726,-85.44242263,no,no,"SiL, L, SL","Blount, Mermill+Haskins, Boyer+Rawson",no,no,P0916XR,26-Apr,Avg,UAN,QP,118,0.3652,-1.02E-03,178.4,150.6,,124
NR-190,Soy,no,2012,IN,EC,Henry,Pickering,20-110,,,no,no,"SiL, SiCL","Crosby, Cyclone",yes,no,P1018AM1,19-Apr,SD,UAN,QP,41.9163,0.95,-0.00519,91.5,85.4,0.74,81
NR-191,Soy,yes,2012,IN,NW,Porter,PPAC - A4,A4,41.45145997,-86.94347262,no,no,L,Sebewa,no,no,P0916XR,10-May,Avg,UAN,QP,111.9,1.1588,-3.42E-03,169.5,210.2,,153
NR-192,Soy,yes,2012,IN,NW,Porter,PPAC - Dow,I3,,,no,no,L,Sebewa,no,no,P0916XR,15-May,sd,UAN,QP,153.6,0.9161,-3.14E-03,146,220.5,0.99,128
NR-193,Soy,yes,2012,IN,NW,Porter,PPAC - J,J,41.44364322,-86.93587661,no,yes,Muck,"Edwards, Palm",no,no,P0916XR,,SD,UAN,NR,-,-,-,63,159,,63
NR-194,Soy,yes,2012,IN,NW,Porter,PPAC - Koch,I6,,,no,no,"L, SL","Pinhook & Sebewa, Bourbon",no,no,P0916XR,11-May,plt,UAN,QP,156.9,0.7963,-2.26E-03,176,226.9,0.99,151
NR-195,Soy,no,2012,IN,NW,Jasper,Rodibaugh,,,,no,no,"SL, L, L, CL","Papineau, Rensselaer, Rensselaer/Wolcott",no,no,Specialty 4640,20-Apr,SD,UAN,QP,170.1,0.4547,-1.08E-03,209.6,217.8,,159
